term,estimate,std.error,statistic,p.value
(Intercept),63.07034172682457,2.0896619751468957,30.18207847821462,7.099211581485721e-117
log_gdp_pc,1.0768514538295917,0.22080107475908592,4.877020888619019,1.4290171264422658e-6
health_expenditure,8.058949513715366e-4,1.0630072105194485e-4,7.581274552011068,1.5578982471845043e-13
access_clean_water,0.029477416827063604,0.014040778499573386,2.0994147032487724,0.03625625627036141
infant_mortality,-0.23220571514932192,0.01002078685003149,-23.172403387523627,2.1577267039263207e-82
